Ferramenta,Data adicionado,Descrição,Free,Online,Status,link,Área
Surf Pattern Visual Analyzer,13/04/2022   (BRT),Ferramentas de análise de link visual de navegação na web que mostram os padrões de visualização de páginas da web de um site.,,,Ativo,http://www.roselladb.com/surf-pattern-analyzer.htm,Mineração de uso da web
BioComp i-Suite,13/04/2022   (BRT),"otimização baseada em restrições, análise de causa e efeito, modelagem preditiva não linear, acesso e limpeza de dados e muito mais.",,,Ativo,http://www.biocompsystems.com/,Suites/Plataformas
TheWebMiner,13/04/2022   (BRT),para extrair dados estruturados e serviços de web scraping personalizados na nuvem.,,,Ativo,http://thewebminer.com/,Mineração de conteúdo da web
Centrifuge,13/04/2022   (BRT),oferece aos analistas e investigadores um conjunto integrado de recursos que podem ajudá-los a compreender e obter uma visão rápida de novas fontes de dados.,,,Ativo,http://www.tildenwoods.com/,"Análise de gráficos e redes sociais, links e visualização"
JReport By Jinfonet Software,13/04/2022   (BRT),capacita as empresas a incorporar os relatórios e painéis mais sofisticados em aplicativos da web,,,Ativo,,Visualização
11Ants Model Builder,13/04/2022   (BRT),"atualiza o Microsoft Excel em uma ferramenta de mineração de dados / análise preditiva poderosa e simples de usar, com regressão, classificação e probabilidade de classificação.",,,Ativo,http://www.11antsanalytics.com/?kd,Classificação: Abordagens múltiplas
CMSR Data Miner,13/04/2022   (BRT),"construído para dados de negócios com foco em banco de dados, incorporando mecanismo de regras, rede neural, agrupamento neural (SOM), árvore de decisão, detalhamento de ponto de acesso, análise de desvio de tabela cruzada, análise de venda cruzada, visualização / gráficos e muito mais.",,,Ativo,http://www.roselladb.com/starprobe.htm,Cluster e Segmentação
Delta Miner,13/04/2022   (BRT),"integra novas técnicas de pesquisa e metodologias de ""business intelligence"" em um front-end OLAP que abraça o conceito de Active Information Management. encontra as exceções mais importantes",,,Ativo,http://www.bissantz.de/,"Detecção de anomalia, desvio de fraude"
IBM SPSS,13/04/2022   (BRT),"a pedra angular do sistema SPSS, as estatísticas mais populares, tabelas dinâmicas multidimensionais e gráficos.",,,Ativo,http://www.spss.com/,Análise Estatística
PoolParty Semantic Classifier,13/04/2022   (BRT),como um serviço ou no local,,,Ativo,,Classificação: Abordagens múltiplas
IBM SPSS Modeler,13/04/2022   (BRT),"inclui algoritmos de agrupamento Kohonen, duas etapas, K-Means.",,,Ativo,http://www.spss.com/software/modeler/,Cluster e Segmentação
YCML,13/04/2022   (BRT),"inclui Aprendizado de Máquina e algoritmos de otimização, baseados em YCMatrix, uma biblioteca de matriz, e pode ser usado em aplicativos iOS e OS X. No Github (GPLv3).",Free,,Ativo,https://www.kdnuggets.com/software/%3Ehttps:/github.com/yconst/YCML,"Bibliotecas, componentes e kits de desenvolvedor"
Analytica,13/04/2022   (BRT),influenciar o ambiente visual baseado em diagramas para criar e analisar modelos probabilísticos (Win / Mac).,,,Ativo,http://www.lumina.com/,Classificação: Bayesiano
Databionic ESOM Tools,13/04/2022   (BRT),"um conjunto de programas para agrupamento, visualização e classificação com Emergent Self-Organizing Maps (ESOM).",Free,,Ativo,http://databionic-esom.sourceforge.net/,Cluster e Segmentação
Oracle Data Mining (ODM),13/04/2022   (BRT),permite que os clientes produzam informações preditivas acionáveis ​​e criem aplicativos integrados de inteligência de negócios.,,,Ativo,http://www.oracle.com/us/products/database/options/data-mining/index.html,Suites/Plataformas
Gepsoft GeneXproTools 4.0,13/04/2022   (BRT),"uma ferramenta de modelagem preditiva extremamente flexível projetada para descoberta de funções, classificação, previsão de séries temporais e síntese lógica",,,Ativo,,"Classificação: Genética, Lógica Fuzzy e outros"
SAS Web Analytics Solution,13/04/2022   (BRT),,,,Ativo,http://www.sas.com/solutions/webanalytics/index.html,Análise de mídia social
Bayesian Network tools in Java (BNJ),13/04/2022   (BRT),um conjunto de ferramentas Java de código aberto para raciocínio e aprendizado probabilístico (Kansas State University KDD Lab),Free,,Ativo,http://bnj.sourceforge.net/,Classificação: Bayesiano
Palisade PrecisionTree,13/04/2022   (BRT),Árvores de decisão e diagramas de influência para Excel.,,,Ativo,http://www.palisade.com/precisiontree/default.asp,Classificação: Árvore de decisão
Sav Z,13/04/2022   (BRT),Linguagem de API Java (TM) para desenvolver aplicativos de banco de dados relacionais de objetos móveis de alto desempenho (um JDBC aprimorado). Download grátis!,Free,,Ativo,http://savtechno.com/,"Bibliotecas, componentes e kits de desenvolvedor"
LIONsolver 2.0,13/04/2022   (BRT),"Learning and Intelligent OptimizatioN: modelagem e otimização com ""on the job learning"" para negócios e engenharia da Reactive Search SrL.",,,Ativo,http://lionsolver.com/,Suites/Plataformas
ScienceGL,13/04/2022   (BRT),soluções de software profissional para visualização científica 3D / 4D.,,,Ativo,http://www.sciencegl.com/,Visualização
IMSL Numerical Libraries,13/04/2022   (BRT),"algoritmos matemáticos e estatísticos incorporáveis ​​escritos em C, C # /. NET, Java e Fortran que são usados ​​em uma ampla gama de aplicativos de mineração de dados.",,,Ativo,http://www.vni.com/products/imsl/index.php,"Bibliotecas, componentes e kits de desenvolvedor"
"kdb+ ",13/04/2022   (BRT),"rom Kx Systems, um banco de dados de série temporal de alto desempenho com uma linguagem de programação integrada q.",,,Ativo,http://kx.com/,"BI, banco de dados e OLAP"
Visual Web Ripper,13/04/2022   (BRT),"uma ferramenta visual poderosa usada para web scraping automatizado, web harvesting e extração de conteúdo da web.",,,Ativo,http://www.visualwebripper.com/,Mineração de conteúdo da web
Viscovery data mining suite,13/04/2022   (BRT),um pacote de data mining exclusivo e abrangente para aplicativos de negócios com ambiente de projeto orientado por fluxo de trabalho,,,Ativo,,Suites/Plataformas
Analog,13/04/2022   (BRT),"(do Dr. Stephen Turner), um programa gratuito e rápido para analisar os arquivos de log do servidor web (Win, Unix, mais)",Free,,Ativo,http://www.analog.cx/,Análise de mídia social
ClickTracks,13/04/2022   (BRT),exibe padrões de visitantes diretamente nas páginas de seu site.,,,Ativo,http://www.clicktracks.com/,Mineração de uso da web
Xanalys Link Explorer,13/04/2022   (BRT),"fornece ferramentas poderosas de análise de rede, incluindo gráfico de links e análise de linha do tempo, mapeamento do Bing e integração com o Excel. fornecer visualização por consulta para apoiar investigações conduzidas por inteligência e encontrar links que faltam em caminhos investigativos.",,,Ativo,http://www.xanalys.com/,Visualização
Alyuda NeuroIntelligence,13/04/2022   (BRT),suporta todos os estágios de projeto e aplicação de rede neural.,,,Ativo,http://www.alyuda.com/neural-networks-software.htm,"Estimativa, regressão e previsão"
KXEN,13/04/2022   (BRT),"Componentes, baseados no trabalho de Vapnik no SVM.",,,Ativo,http://www.kxen.com/,Classificação: Máquina de vetor de suporte (SVM)
LIBSVM,13/04/2022   (BRT),uma biblioteca de máquinas de vetores de suporte (SVM) para classificação,Free,,Ativo,http://www.csie.ntu.edu.tw/~cjlin/libsvm,Classificação: Máquina de vetor de suporte (SVM)
Social Networks Visualiser (SocNetV),13/04/2022   (BRT),uma ferramenta flexível e amigável para a análise e visualização de Redes Sociais.,Free,,Ativo,http://socnetv.sourceforge.net/,"Análise de gráficos e redes sociais, links e visualização"
Hypatos,13/04/2022   (BRT),"a tecnologia de aprendizado profundo captura entidades de documentos semiestruturados, realiza validações e automatiza processos de back-office, como contabilidade. A edição gratuita da comunidade está disponível aqui. ",,,Ativo,,"Análise de texto, mineração de texto e recuperação de informações"
XDAT,13/04/2022   (BRT),A Ferramenta de Análise de Dados X-dimensional lê dados de alta dimensão em formato baseado em coluna e usa coordenadas paralelas para visualizar e analisar todas as dimensões de uma vez.,Free,,Ativo,http://www.xdat.org/,Visualização
Mercury Visualization Sciences Group,13/04/2022   (BRT),oferecendo ferramentas de software de visualização 3D de ponta para aplicações científicas e industriais.,,,Ativo,http://3dviz.mc.com/,Visualização
Spatial Key,13/04/2022   (BRT),"uma próxima geração de visualização de informação, mapeamento, análise e sistema de relatórios.",,,Ativo,http://www.spatialkey.com/,Visualização
Magnum Opus Demo,13/04/2022   (BRT),"software de demonstração altamente funcional para encontrar associações em dados, incluindo suporte estatístico para evitar descobertas espúrias.",Free,,Ativo,http://www.giwebb.com/,Regras de associação
Qualtrics,13/04/2022   (BRT),"Ferramenta destinada a criação de instrumentos, distribuição e acompanhamento de pesquisa, coleta e análise inicial de dados.",,online,Ativo,,Coleta de Dados
GhostMiner,13/04/2022   (BRT),"suíte completa de mineração de dados, incluindo k-vizinhos mais próximos, redes neurais, árvore de decisão, neurofuzzy, SVM, PCA, clustering e visualização.",,,Ativo,http://www.fqspl.com.pl/ghostminer,Suites/Plataformas
Affinium NetInsight,13/04/2022   (BRT),Análise da web de classe corporativa da Unica.,,,Ativo,http://netinsight.unica.com/,Mineração de uso da web
AutoUniv,13/04/2022   (BRT),para criar modelos de classificação e gerar conjuntos de dados a partir deles.,Free,,Ativo,http://sites.google.com/site/autouniv/,Classificação: Baseado em regras
Business Intelligence from Business Objects,13/04/2022   (BRT),"software e soluções de business intelligence, incluindo: relatórios corporativos, consulta e análise, integração de dados e ferramentas de gerenciamento de desempenho.",,,Ativo,http://www.businessobjects.com/,"BI, banco de dados e OLAP"
Quenza,13/04/2022   (BRT),extrai automaticamente entidades e referências cruzadas de documentos de texto livre e constrói um banco de dados para análise subsequente.,,,Ativo,http://www.xanalys.com/,"Análise de texto, mineração de texto e recuperação de informações"
dlib C++,13/04/2022   (BRT),"biblioteca, fornece classificação SVM prontamente utilizável, regressão baseada em kernel, redes neurais e algoritmos de inferência de rede bayesiana.",Free,,Ativo,http://dclib.sourceforge.net/,"Bibliotecas, componentes e kits de desenvolvedor"
Magnify PATTERN,13/04/2022   (BRT),"suíte de software, contém PADRÃO: Prepare para preparação de dados",,,Ativo,,Suites/Plataformas
NedStat,13/04/2022   (BRT),,,,Ativo,http://www.nedstat.co.uk/web/nedstatuk.nsf/pages/website_analytics_compare_solutions,Análise de mídia social
Scrapy,13/04/2022   (BRT),uma estrutura de captura de tela e rastreamento da web de alto nível rápida em Python.,Free,,Ativo,http://scrapy.org/,Mineração de conteúdo da web
Data Desk,13/04/2022   (BRT),fornece ferramentas interativas para análise exploratória de dados e exibição,,,Ativo,http://www.datadesk.com/,Visualização
BayesiaLab,13/04/2022   (BRT),inclui algoritmos de classificação bayesiana para segmentação de dados e usa redes bayesianas para agrupar automaticamente as variáveis.,,,Ativo,http://www.bayesia.com/,Cluster e Segmentação
RapAnalyst,13/04/2022   (BRT),"usa uma combinação de redes neurais, algoritmos genéticos e SOM para visualizar o conhecedor e trabalhar com dados dimensionais elevados dentro do Knowledge Filter ™ bidimensional.",,,Ativo,http://www.raptorinternational.com/,Visualização
timeXtender,13/04/2022   (BRT),"aplicativo de geração de código SQL baseado em regras para automatizar totalmente todo o processo de análise de Business Intelligence, desde a seleção e extração de dados de várias fontes de dados até a geração de cubos OLAP específicos.",,,Ativo,http://www.timextender.com/,"BI, banco de dados e OLAP"
Kampyle,13/04/2022   (BRT),um fornecedor líder de Feedback Analytics.,,,Ativo,http://www.kampyle.com/,Análise de mídia social
machineJS,13/04/2022   (BRT),Aprendizado de máquina automatizado - basta fornecer um arquivo de dados. Código aberto. ,,,Ativo,https://github.com/ClimbsRocks/machineJS,Ciência de Dados automatizada
DXpress,13/04/2022   (BRT),Ferramenta baseada em Windows para construir e compilar redes Bayes.,,,Ativo,http://www.kic.com/,Classificação: Bayesiano
INSNA,13/04/2022   (BRT),é a associação profissional de pesquisadores interessados ​​em análise de redes sociais.,,online,Ativo,http://www.insna.org/,"Análise de gráficos e redes sociais, links e visualização"
SPSS Web Mining for Clementine,13/04/2022   (BRT),"permite que você extraia eventos da Web, incluindo resultados de campanha online, e use esse comportamento online no ambiente de modelagem preditiva da Clementine.",,,Ativo,http://www.spss.com/web_mining_for_clementine/,Mineração de uso da web
MODSTAT,13/04/2022   (BRT),programa baseado em DOS muito barato,,,Ativo,http://members.aol.com/rcknodt/pubpage.htm,Análise Estatística
OneStat,13/04/2022   (BRT),,,,Ativo,http://www.onestat.com/html/services.html,Análise de mídia social
Iqub,13/04/2022   (BRT),"Aplicativo de navegador, mineração de dados, relatório e análise, conectando-se diretamente a cubos Microsoft SQL Server, MS-OLAP / Analysis Server ou a cubos locais.",,,Ativo,http://www.iqub.com/,"BI, banco de dados e OLAP"
DeciDyn Connato™,13/04/2022   (BRT),"oferece recomendações de produtos e conteúdo altamente personalizadas em marketing online, email e mobile no modo SaaS.",,online,Ativo,http://www.decidyn.com/home_connato.php?id=910006,Serviços de recomendações
EWA Systems,13/04/2022   (BRT),"pacote completo de mineração de dados baseado em Java, incluindo uma gama completa de técnicas de alto desempenho baseadas em regras, Bayesianas, neurais e SVM.",,,Ativo,http://www.ewasystems.com/,Suites/Plataformas
DTREG,13/04/2022   (BRT),gera árvores de decisão de classificação e regressão,,,Ativo,,Classificação: Árvore de decisão
Java Data Mining Package (JDMP),13/04/2022   (BRT),uma biblioteca Java de código aberto para análise de dados e aprendizado de máquina.,Free,,Ativo,http://www.jdmp.org/,"Bibliotecas, componentes e kits de desenvolvedor"
Davisor Chart,13/04/2022   (BRT),"um conjunto de componentes J2EETM de criação de gráficos e relatórios da web, projetado para uso no lado do servidor.",,,Ativo,http://products.davisor.com/chart,Visualização
Aika,13/04/2022   (BRT),"uma biblioteca de código aberto para explorar padrões frequentes dentro do texto, usando ideias de redes neurais e indução gramatical.",Free,,Ativo,http://www.aika-software.org/,"Análise de texto, mineração de texto e recuperação de informações"
Networkx,13/04/2022   (BRT),"Pacote Python para a criação, manipulação e estudo da estrutura, dinâmica e funções de redes complexas.",Free,,Ativo,http://networkx.lanl.gov/,"Análise de gráficos e redes sociais, links e visualização"
"XAffinity™, ActiveX toolkit (DLL)",13/04/2022   (BRT),Kit de ferramentas ActiveX (DLL) para associação e análise sequencial em bancos de dados SQL.,,,Ativo,http://www.xore.com/,"Bibliotecas, componentes e kits de desenvolvedor"
Orange,13/04/2022   (BRT),"análise de dados de código aberto e mineração por meio de programação visual ou script Python. Componentes para visualização, aprendizado de regras, agrupamento, avaliação de modelo e muito mais. Os componentes C ++ para mineração de dados incluem técnicas de pré-processamento, modelagem e exploração de dados.",Free,,Ativo,http://orange.biolab.si/,Suites/Plataformas
The Semantic Indexing Project,13/04/2022   (BRT),"oferecendo ferramentas de código aberto, incluindo o Semantic Engine - um indexador / aplicativo de pesquisa independente.",Free,,Ativo,http://knowledgesearch.org/,"Análise de texto, mineração de texto e recuperação de informações"
IBM SPSS Modeler Suite,13/04/2022   (BRT),inclui a análise da cesta de compras.,,,Ativo,http://www.spss.com/software/modeler/,Regras de associação
Rulex,13/04/2022   (BRT),Inc fornece ferramentas analíticas prescritivas descritas por regras para tomadores de decisão. ,,,Ativo,http://www.rulexinc.com/,Classificação: Baseado em regras
XpertRule Miner (Attar Software),13/04/2022   (BRT),fornece árvores de decisão gráficas com a capacidade de incorporar como componentes ActiveX. fornece descoberta de regra de associação de qualquer fonte de dados ODBC.,,,Ativo,http://www.attar.com/,Classificação: Árvore de decisão
FIMI,13/04/2022   (BRT),"Repositório de implementações de Mineração de Itemset Frequentes , incluindo software e conjuntos de dados. ",Free,,Ativo,http://fimi.cs.helsinki.fi/,Regras de associação
BotXO,13/04/2022   (BRT),"trabalha com chatbots, bots de voz, NLU, Machine Learning e AI e cria software para a era de conversação.",,,Ativo,https://www.botxo.ai/,Robôs
Visitator,13/04/2022   (BRT),Agrupamento e apresentação visual de grupos de visitantes com base em padrões de acesso.,Free,,Ativo,http://www.fh54.de/visitator/home/1About/index.php,Mineração de uso da web
WebTrends,13/04/2022   (BRT),uma suíte para Data Mining de informações de tráfego da web.,,,Ativo,http://www.webtrends.com/,Análise de mídia social
BAYDA 1.0,13/04/2022   (BRT),,Free,,Ativo,http://www.cs.helsinki.fi/research/cosco,Classificação: Bayesiano
Alteryx Project Edition,13/04/2022   (BRT),"versão gratuita do Alteryx, oferece os recursos de combinação, análise e compartilhamento de dados do Alteryx com execuções permitidas apenas o suficiente de seu fluxo de trabalho para resolver um problema de negócios ou para concluir um projeto.",Free,,Ativo,http://www.alteryx.com/products/project-edition,Suites/Plataformas
DTI Enterprise Information Integration Technology,13/04/2022   (BRT),"oferece relatórios e análises baseadas em visão consolidada dos dados e sistemas operacionais díspares da organização (ERP, CRM, Finanças, ...) sem adicionar processos caros de ETL / datawarehouse.",,,Ativo,http://www.decision-technology.com/,"BI, banco de dados e OLAP"
R,13/04/2022   (BRT),uma linguagem e ambiente para computação estatística e gráficos. Um projeto GNU semelhante à linguagem S. inclui vários pacotes relevantes para análise de rede social: igraph: pacote genérico de análise de rede,,,Ativo,,Visualização
Autoclass C,13/04/2022   (BRT),"um sistema de classificação Bayesiano não supervisionado da NASA, disponível para Unix e Windows",Free,,Ativo,http://ic.arc.nasa.gov/projects/bayes-group/autoclass/autoclass-c-program.html,Cluster e Segmentação
Palisade DecisionTools Suite,13/04/2022   (BRT),Kit completo de ferramentas de análise de risco e decisão.,,,Ativo,http://www.palisade.com/decisiontools_suite/default.asp,Suites/Plataformas
Kepler,13/04/2022   (BRT),"sistema de mineração de dados extensível, multiparadigma e multifuncional, que inclui métodos para detecção de desvios (site em alemão e inglês).",,,Ativo,http://www.dialogis.de/,"Detecção de anomalia, desvio de fraude"
ActivePoint,13/04/2022   (BRT),"oferecendo processamento de linguagem natural e catálogos on-line inteligentes, pesquisa contextual baseada e TX5 (TM) Discovery Engine da ActivePoint.",,,Ativo,http://www.activepoint.com/,"Análise de texto, mineração de texto e recuperação de informações"
Readware,13/04/2022   (BRT),"Processador de Informação para Intranets e Internet, classifica documentos por conteúdo",,,Ativo,,"Análise de texto, mineração de texto e recuperação de informações"
MonkeyLearn,13/04/2022   (BRT),uma ferramenta Text Mining para a criação de aplicativos de aprendizado de máquina,,,Ativo,,"Análise de texto, mineração de texto e recuperação de informações"
Vertica Systems,13/04/2022   (BRT),"é o inovador de mercado para sistemas de gerenciamento de banco de dados analítico de alto desempenho que são executados em hardware padrão da indústria, com tecnologia de banco de dados analítico orientado a colunas e baseado em grade.",,,Ativo,http://www.vertica.com/,"BI, banco de dados e OLAP"
Metafy Anthracite Web Mining Software,13/04/2022   (BRT),construir spiders e scrapers visualmente sem scripts (requer MacOS X 10.4 ou mais recente).,,,Ativo,http://www.metafy.com/,Mineração de conteúdo da web
Displayr,13/04/2022   (BRT),"uma ferramenta de ciência de dados, visualização e relatórios projetada para iniciantes e especialistas. Possui versões gratuitas e pagas.",,,Ativo,https://www.displayr.com/,Suites/Plataformas
Crossminder,13/04/2022   (BRT),processamento de linguagem natural e análise de texto (incluindo mineração de texto multilíngue).,,,Ativo,http://www.crossminder.com/,"Análise de texto, mineração de texto e recuperação de informações"
MLC++,13/04/2022   (BRT),"uma biblioteca de classes C ++ para aprendizado de máquina supervisionado, incluindo vários algoritmos de classificação.",Free,,Ativo,http://www.sgi.com/tech/mlc/,Suites/Plataformas
Partek,13/04/2022   (BRT),"reconhecimento de padrões, visualização interativa e sistema de modelagem e análise estatística.",,,Ativo,http://www.partek.com/,Suites/Plataformas
AdvancedMiner Community Edition,13/04/2022   (BRT),"versão gratuita do AdvancedMiner - suíte de software analítico integrado, suportando a gama completa de tarefas envolvidas com processamento de dados, construção de modelos de Data Mining, análise avançada de dados e relatórios.",Free,,Ativo,http://algolytics.com/products/advancedminer/,Suites/Plataformas
d3.js,13/04/2022   (BRT),"Data-Driven Documents, uma biblioteca JavaScript para manipular e visualizar documentos HTML com base em dados.",Free,,Ativo,http://d3js.org/,Visualização
Aggregate Knowledge,13/04/2022   (BRT),"cria recomendações automatizadas de comportamento para sites, oferecendo Discovery for Retail, Discovery for Media e Collective Discovery Network. San Mateo, CA.",,,Ativo,http://www.aggregateknowledge.com/,Serviços de recomendações
GeNIe and SMILE,13/04/2022   (BRT),"uma biblioteca totalmente portátil de classes C ++ que implementam métodos gráficos de teoria de decisão, como redes bayesianas e diagramas de influência.",Free,,Ativo,https://dslpitt.org/genie/,Classificação: Bayesiano
NETINF,13/04/2022   (BRT),infere uma rede quem copia de quem ou quem repete depois de quem de sites de mídia de notícias e blogs usando o conjunto de dados MemeTracker.,Free,,Ativo,http://snap.stanford.edu/netinf/,"Análise de gráficos e redes sociais, links e visualização"
Develve,13/04/2022   (BRT),"não tem menus ocultos profundos, tudo é diretamente acessível e os resultados são diretamente visíveis.",Free,,Ativo,http://develve.net/,Análise Estatística
Vowpal Wabbit (Fast Learning),13/04/2022   (BRT),"capaz de aprender a partir de conjuntos de dados de recursos tera com aprendizagem paralela, suporta classificação, regressão e muito mais.",Free,,Ativo,http://hunch.net/~vw/,Suites/Plataformas
MLF: machine learning framework for Mathematica,13/04/2022   (BRT),o sistema multi-método para criar modelos computacionais compreensíveis a partir de dados.,,,Ativo,http://www.unisoftwareplus.com/products/,"Bibliotecas, componentes e kits de desenvolvedor"
jBNC,13/04/2022   (BRT),"um kit de ferramentas Java para treinamento, teste e aplicação de classificadores de rede bayesiana.",Free,,Ativo,http://jbnc.sourceforge.net/,Classificação: Bayesiano
Civis,13/04/2022   (BRT),"uma plataforma de ciência de dados fácil de usar, ponta a ponta e extensível na nuvem, construída por cientistas de dados, para equipes que desejam tomar grandes decisões baseadas em dados para impulsionar suas organizações.",,,Ativo,http://civisanalytics.com/,Suites/Plataformas
Vivisimo/Clusty,13/04/2022   (BRT),motor de pesquisa na web e agrupamento de texto.,,online,Ativo,http://www.clusty.com/,"Análise de texto, mineração de texto e recuperação de informações"
eThority,13/04/2022   (BRT),"entregando uma poderosa plataforma de business intelligence e analítica com uma interface ""óbvia para o usuário"".",,,Ativo,http://www.ethority.com/,"BI, banco de dados e OLAP"
Snob,13/04/2022   (BRT),Programa baseado em MML (comprimento mínimo de mensagem) para clustering,Free,,Ativo,http://www.csse.monash.edu.au/~dld/Snob.html,Cluster e Segmentação
FreeSight,13/04/2022   (BRT),"evite o ""inferno das planilhas"" com ferramentas patenteadas para simplificar e automatizar a combinação, limpeza, análise e relatório de dados.",,,Ativo,http://www.freesightweb.com/,"Transformação de dados, limpeza de dados"
StarProbe web-based,13/04/2022   (BRT),servidor multiusuário disponível para instituições acadêmicas.,Free,,Ativo,http://www.roselladb.com/starprobef.htm,Análise Estatística
Databionic ESOM Tools,13/04/2022   (BRT),"um conjunto de programas para agrupamento, visualização e classificação com Emergent Self-Organizing Maps (ESOM).",Free,,Ativo,http://databionic-esom.sourceforge.net/,Suites/Plataformas
HUGIN,13/04/2022   (BRT),conjunto completo de ferramentas de raciocínio da Rede Bayesiana,,,Ativo,http://www.hugin.dk/,Classificação: Bayesiano
NewsFeed Researcher,13/04/2022   (BRT),"apresenta uma ferramenta de resumo de vários documentos ao vivo, com feeds de notícias RSS gerados automaticamente.",,,Ativo,http://newsfeedresearcher.com/,"Análise de texto, mineração de texto e recuperação de informações"
Oco Inc.,13/04/2022   (BRT),"oferece soluções pré-embaladas de BI SaaS sob demanda para Cadeia de Suprimentos, Logística, Estoque e muito mais. Fácil de adotar, pronto para usar em apenas 6 semanas ou menos!",,online,Ativo,http://www.oco-inc.com/,"BI, banco de dados e OLAP"
Trapit,13/04/2022   (BRT),"sistema de personalização de conteúdo com base em palavras-chave, URLs e hábitos de leitura.",Free,,Ativo,http://trap.it/,Mineração de conteúdo da web
Xpanse Analytics,13/04/2022   (BRT),"uma plataforma que constrói modelos preditivos em dados transacionais brutos armazenados em muitas tabelas, capaz de gerar milhares de recursos automaticamente sem codificação manual. Comercial.",,,Ativo,http://www.xpanseanalytics.com/,Ciência de Dados automatizada
Siren - Link Analysis (knowledge graph),13/04/2022   (BRT),visualização junto com painéis de estilo de BI conectados relacionalmente. Funciona muito bem em cima do Elasticsearch - edição da comunidade gratuita disponível.,Free,,Ativo,https://siren.io/,Visualização
AC2 (from Isoft),13/04/2022   (BRT),um conjunto de bibliotecas para construir soluções de mineração de dados no lado do servidor.,,,Ativo,http://www.alice-soft.com/html/prod.htm,"Bibliotecas, componentes e kits de desenvolvedor"
ProxyCrawl,13/04/2022   (BRT),"reduz o tempo gasto no desenvolvimento de raspadores e rastreadores. A API de rastreamento protege os web scrapers contra proibição de site, vazamento de IP, travamento do navegador, CAPTCHA e falha de proxy. Os primeiros 1000 pedidos são gratuitos.",,,Ativo,http://proxycrawl.com/,Mineração de conteúdo da web
Orange,13/04/2022   (BRT),"análise de dados de código aberto e mineração por meio de programação visual ou script Python. Componentes para visualização, aprendizado de regras, agrupamento, avaliação de modelo e muito mais. Os componentes C ++ para mineração de dados incluem técnicas de pré-processamento, modelagem e exploração de dados.",Free,,Ativo,http://www.ailab.si/orange/,"Bibliotecas, componentes e kits de desenvolvedor"
Visipoint,13/04/2022   (BRT),Clustering e visualização de mapas auto-organizáveis.,,,Ativo,http://www.visipoint.fi/,Cluster e Segmentação
SoftPro CubePlayer,13/04/2022   (BRT),"suportando múltiplas conexões com Microsoft Analysis Servers, n-servidores, n-bancos de dados e n-cubos.",,,Ativo,http://www.softpro.hr/,"BI, banco de dados e OLAP"
Stan is open-source software,13/04/2022   (BRT),"faz interface com as linguagens de análise de dados mais populares (R, Python, shell, MATLAB, Julia, Stata) e roda em todas as principais plataformas.",Free,,Ativo,http://mc-stan.org/,Classificação: Bayesiano
Picturesafe,13/04/2022   (BRT),"O sistema semântico categoriza e analisa todas essas informações de forma totalmente automática, reconhece conteúdo e semelhanças entre diferentes mídias e acelera drasticamente a pesquisa jornalística e editorial.",,,Ativo,http://www.picturesafe.de/en/products/products-semantic-analysis/,"Análise de texto, mineração de texto e recuperação de informações"
Data Manager,13/04/2022   (BRT),Aplicativo Windows GUI para transformação e limpeza de dados antes da mineração de dados.,,,Ativo,http://datamanager.com.au/,"Transformação de dados, limpeza de dados"
PermuteIt(TM) from DataMineIt(SM),13/04/2022   (BRT),uma macro SAS abrangente que realiza testes de permutação rápidos e poderosos.,,,Ativo,http://www.datamineit.com/DMI_software.htm,Análise Estatística
R,13/04/2022   (BRT),uma linguagem e ambiente para computação estatística e gráficos. Um projeto GNU semelhante à linguagem S. inclui vários pacotes relevantes para análise de rede social: igraph: pacote genérico de análise de rede,,,Ativo,,Análise Estatística
Miner3D Enterprise,13/04/2022   (BRT),"Visual OLAP poderoso e intuitivo com consulta de alta dimensão e relatórios gráficos, rápida filtragem de dados na memória, clustering, detalhamento visual e navegação roll-up.",,,Ativo,http://www.miner3d.com/,"BI, banco de dados e OLAP"
GMDH Shell,13/04/2022   (BRT),"uma ferramenta avançada, mas fácil de usar, para modelagem preditiva e mineração de dados. cria classificadores baseados em redes neurais do tipo GMDH. software de previsão que cria modelos preditivos baseados em redes neurais artificiais.",,,Ativo,http://www.gmdhshell.com/,Classificação: Rede neural
Rank from VADIS,13/04/2022   (BRT),"combina as melhores práticas em recodificação de variável, validação cruzada, regressão de crista, seleção de recursos e manipulação de conjuntos de dados muito grandes, para fornecer rapidamente modelos precisos e robustos.",,,Ativo,http://www.vadis.com/product/rank__presentation.html,Classificação: Abordagens múltiplas
Yogi,13/04/2022   (BRT),uma plataforma de análise de feedback do cliente que usa tecnologia de IA e PNL de última geração para produzir percepções valiosas em escala.,,,Ativo,https://www.meetyogi.com/,"Análise de texto, mineração de texto e recuperação de informações"
XELOPES,13/04/2022   (BRT),uma biblioteca aberta independente de plataforma e fonte de dados para mineração de dados incorporada.,,,Ativo,http://www.prudsys.com/Produkte/Algorithmen/Xelopes/,"Bibliotecas, componentes e kits de desenvolvedor"
VOSON 2.5,13/04/2022   (BRT),"software para hiperlink, texto e coleta de dados de rede Twitter, análise e visualização.",,,Ativo,http://uberlink.com/,"Análise de gráficos e redes sociais, links e visualização"
Wizard,13/04/2022   (BRT),um pacote de visualização e estatísticas fácil de usar para Mac OS X.,,,Ativo,http://www.wizardmac.com/,Análise Estatística
